Epoch: [RMSE Score] [CRPS Score]
1,[89.94912595 14.33326258 11.70843784  9.37100568],[48.93867326  8.47367747  6.8438683   5.42943009],1339.0335277981228,1339.0335277981228,1
2,[89.40025256 13.56199195 10.9845014   8.90300333],[48.54748885  7.98940147  6.37508858  5.18180343],-221.68158298068576,-221.68158298068576,2
3,[88.90235433  8.51414979  7.10151024  6.12654903],[46.46220909  4.82932703  4.05056787  3.54224107],-910.0238698323568,-910.0238698323568,3
4,[86.50401568  6.49382494  5.67023515  4.95649908],[44.40266521  3.65088782  3.19599497  2.79160264],-1369.7077772352432,-1369.7077772352432,4
5,[81.5022155   5.48750296  4.84130326  4.47007467],[40.9808303   3.01417138  2.7552017   2.50864937],-1696.5560811360676,-1696.5560811360676,5
6,[74.55665872  4.78413425  4.59318256  4.57885499],[38.24346438  2.57750596  2.62455157  2.5784855 ],-1958.5348239474827,-1958.5348239474827,6
7,[73.56972634  5.47950395  4.77596704  4.98568124],[40.28430341  3.0145197   2.6652644   2.80845488],-2156.0115492078994,-2156.0115492078994,7
8,[76.2636107   5.04487226  4.00321525  4.59200426],[37.44455943  2.83607631  2.28234631  2.58167033],-2330.501512315538,-2330.501512315538,8
9,[72.65136972  5.48896346  4.53724637  4.21118566],[35.75509435  3.06070589  2.58705786  2.35214553],-2489.359195285373,-2489.359195285373,9
10,[70.66124679  4.8538545   4.41966611  4.40502953],[34.52073852  2.59308601  2.5477057   2.44466828],-2633.28662109375,-2633.28662109375,10
11,[69.75879413  4.93182872  4.05302562  4.53228239],[34.59409886  2.53991504  2.28969569  2.53351346],-2759.5103827582466,-2759.5103827582466,11
12,[68.04124549  4.80532817  4.07275324  4.1189651 ],[33.7998939   2.60144489  2.28749799  2.28983122],-2901.0544942220054,-2901.0544942220054,12
13,[69.32410012  4.52271474  3.96724868  4.10291075],[34.1088319   2.37560587  2.25806789  2.29883986],-3021.338338216146,-3021.338338216146,13
14,[71.03343039  4.73310591  3.61236629  3.76819042],[36.17180927  2.64524859  2.05095406  2.08933693],-3126.2166544596353,-3126.2166544596353,14
15,[72.41657065  4.64409854  3.44053154  4.03799181],[36.34500468  2.46058433  1.9379871   2.26260746],-3252.3014322916665,-3252.3014322916665,15
16,[67.83092083  4.50414704  3.42823546  3.90994836],[34.41722278  2.31660555  1.9379422   2.15728898],-3373.3975423177085,-3373.3975423177085,16
17,[67.4252854   4.40711941  3.23677611  4.27487439],[33.27889774  2.2854157   1.83025311  2.42207127],-3482.666307237413,-3482.666307237413,17
18,[66.91164057  4.18107263  3.06717942  3.72676627],[33.55737605  2.18386795  1.72158762  2.05966432],-3595.529052734375,-3595.529052734375,18
19,[66.7437209   4.30013639  3.0908832   3.76756187],[33.57504627  2.14400896  1.7417272   2.07947001],-3721.786919487847,-3721.786919487847,19
20,[66.83244918  4.18547416  3.64591583  3.68015647],[34.59277443  2.26505092  2.01903892  2.01834249],-3842.2672051323784,-3842.2672051323784,20
21,[67.67663568  4.01751639  3.11956449  3.93390145],[34.05638354  2.1446732   1.77145783  2.16972692],-3951.066942003038,-3951.066942003038,21
22,[70.99171283  4.13400129  3.33689661  3.62743962],[37.61634585  2.21882605  1.87587226  1.9858735 ],-4062.751898871528,-4062.751898871528,22
23,[66.57370041  3.90225602  3.04339848  3.65673383],[33.90133472  2.1278357   1.72934606  2.0131816 ],-4137.666815863715,-4137.666815863715,23
24,[65.43658444  3.85431982  2.87638327  3.58817207],[32.823428    2.09170063  1.61228947  1.95287039],-4219.11174858941,-4219.11174858941,24
25,[69.56918607  4.09715419  2.85635176  3.50622383],[34.49155849  2.27621694  1.61883692  1.91172668],-4307.731797960069,-4307.731797960069,25
26,[66.54601786  4.00466189  2.87316524  3.30102282],[33.03907175  2.18501837  1.62120096  1.78401937],-4393.848639594184,-4393.848639594184,26
27,[65.57703945  4.13368809  3.52886113  3.49938235],[33.14928744  2.32795281  2.0601703   1.97762903],-4453.470133463542,-4453.470133463542,27
28,[70.56712167  3.75464683  3.3170863   3.47479345],[35.63882439  1.97283825  1.89513853  1.83853583],-4498.663960774739,-4498.663960774739,28
29,[66.44059003  3.90897498  4.48352583  3.75751158],[33.67483496  2.08638653  2.52906426  2.12960138],-4543.513278537326,-4543.513278537326,29
30,[68.21729931  4.5148723   3.09567987  4.05368811],[34.49458738  2.49174414  1.82243779  2.28030025],-4609.212124294705,-4609.212124294705,30
31,[66.23235208  3.95543928  2.95362336  3.16108917],[33.26922082  2.21525089  1.6758033   1.73977761],-4647.221320258246,-4647.221320258246,31
32,[65.18626733  3.84631151  2.80618229  3.03990535],[32.78116463  2.03912106  1.59211815  1.65062682],-4787.623677571614,-4787.623677571614,32
33,[65.8777606   3.74068007  3.05987838  2.94488562],[33.18811057  2.08106188  1.76580928  1.59294012],-4857.94583468967,-4857.94583468967,33
34,[65.05754211  3.6334554   2.58383461  3.00391903],[32.56050225  1.95148762  1.44648282  1.6276846 ],-4927.767822265625,-4927.767822265625,34
35,[64.38202665  3.74799956  2.54217167  2.92754641],[32.8455898   2.00483966  1.41658474  1.58740808],-5012.473714192708,-5012.473714192708,35
36,[65.49129691  3.83973186  2.5629743   3.10915652],[32.61282863  1.96216712  1.42908608  1.7233949 ],-5113.130174424913,-5113.130174424913,36
37,[64.86983827  4.17984342  2.88404338  2.82360007],[32.55826021  2.38260622  1.63485511  1.52351881],-5102.529574924045,-5113.130174424913,36
38,[65.92000516  3.89581804  2.55484874  3.26479227],[32.80719534  2.12610799  1.4334326   1.80258957],-5216.375793457031,-5216.375793457031,38
39,[64.68136025  3.78013108  2.64722182  2.9294028 ],[32.18467284  1.93566052  1.48107102  1.58376829],-5322.017991807726,-5322.017991807726,39
40,[64.61377542  3.77026771  2.81602174  2.75471949],[32.60594598  1.89018052  1.58504038  1.46917279],-5341.729878743489,-5341.729878743489,40
41,[65.31953861  3.66798044  2.5949569   2.9808718 ],[32.8589798   1.95378338  1.45410894  1.66829682],-5473.192694769965,-5473.192694769965,41
42,[64.10581912  3.60282667  2.83349312  2.82846194],[32.13081911  1.86954984  1.60541596  1.53617368],-5441.857096354167,-5473.192694769965,41
43,[64.10970662  3.88405134  2.64058347  2.93174438],[31.74507288  2.18956852  1.48802123  1.61425885],-5542.051873101129,-5542.051873101129,43
44,[64.52470402  3.66186839  2.55893401  2.83335359],[32.08804838  1.84735831  1.42903692  1.52140749],-5666.368550618489,-5666.368550618489,44
45,[63.93872974  3.62944732  2.78920339  2.83252719],[32.17099809  1.78498821  1.56554147  1.51711   ],-5818.434407552083,-5818.434407552083,45
46,[65.19018755  3.70992449  2.64373011  2.72445622],[32.27892309  2.02362065  1.50855662  1.46996227],-5971.995551215277,-5971.995551215277,46
47,[63.87029469  3.63690004  2.53152621  2.95550599],[31.86144151  1.84231899  1.41904493  1.6247081 ],-5969.052639431424,-5971.995551215277,46
48,[62.84164321  3.59416544  2.32944995  2.73973495],[31.50226548  1.89128366  1.29165965  1.50371847],-6102.818332248264,-6102.818332248264,48
49,[65.00635099  3.61139654  2.68847241  2.72855594],[32.27912033  1.93191417  1.52269961  1.46710088],-6258.053032769098,-6258.053032769098,49
50,[67.71847837  3.64233535  2.59924625  2.94566939],[32.78689063  1.95532843  1.45377361  1.57847501],-6209.702419704861,-6258.053032769098,49
51,[64.55777835  3.76518147  2.50086968  2.86777144],[32.13125244  1.91106205  1.39967757  1.55376458],-6452.5770263671875,-6452.5770263671875,51
52,[64.65614067  3.72083835  2.42088393  2.92372394],[32.19376546  1.83382749  1.34750281  1.60531975],-6624.7322184244795,-6624.7322184244795,52
53,[64.26755389  3.71533995  2.5812109   2.85300658],[31.96752314  1.82083813  1.44193326  1.541719  ],-6786.5757242838545,-6786.5757242838545,53
54,[63.55913042  3.5746953   2.46234632  2.89016801],[31.38636546  1.82074252  1.36655644  1.58255394],-6936.343641493056,-6936.343641493056,54
55,[65.13167733  3.88092947  2.44864882  2.97481443],[32.16397779  1.9398385   1.35907013  1.6163727 ],-6965.661159939236,-6965.661159939236,55
56,[64.38776199  3.76434598  2.49102469  2.69515395],[31.96980657  2.04656112  1.36884967  1.44560663],-7209.326022677951,-7209.326022677951,56
57,[64.07147649  3.72080416  3.21532744  2.96501395],[32.89573077  1.92439927  1.87037993  1.5983391 ],-7362.39885796441,-7362.39885796441,57
58,[64.66039766  3.66503844  2.77514381  2.79490711],[32.19282839  1.80020822  1.55322282  1.48282034],-7514.612087673611,-7514.612087673611,58
59,[65.0671674   3.59139965  2.55939774  2.72748054],[32.34881728  1.90480753  1.42954041  1.46216408],-7629.678412543402,-7629.678412543402,59
60,[65.34703622  3.55768665  2.47121145  2.71348798],[32.62770069  1.91254113  1.39667403  1.46475763],-7816.338473849826,-7816.338473849826,60
61,[62.98011068  3.51411049  2.39824201  2.84682268],[31.45946508  1.80489016  1.32586151  1.58186095],-7939.247151692708,-7939.247151692708,61
62,[63.34235742  3.60647278  2.42285286  2.67557528],[31.78891492  1.88870869  1.34829309  1.43572833],-8182.013617621527,-8182.013617621527,62
63,[63.79692262  3.64905608  2.4273613   2.7478251 ],[31.83367909  1.82766407  1.36114504  1.49286169],-8349.72279188368,-8349.72279188368,63
64,[64.21375033  3.60348389  2.33969384  2.6716152 ],[31.99165185  1.77976899  1.29589208  1.43647739],-8568.490776909723,-8568.490776909723,64
65,[64.41702319  3.60537804  2.49434892  2.7967572 ],[32.00255669  1.87321605  1.39045925  1.53216625],-8724.4130859375,-8724.4130859375,65
66,[63.78120592  3.62635436  2.42890473  2.89440814],[32.04313218  1.76646845  1.35480318  1.61252427],-8860.850708007812,-8860.850708007812,66
67,[62.22283639  3.59329715  2.29693275  2.66368828],[31.18352367  1.85748609  1.26916869  1.4348328 ],-9055.147284613715,-9055.147284613715,67
68,[64.85821225  4.39655626  3.31576489  3.07998197],[32.49947843  2.23729765  1.84818568  1.66484425],-9237.066026475695,-9237.066026475695,68
69,[66.57438751  3.84983729  2.47951392  3.40804742],[32.79073532  1.98642003  1.42126087  1.79644845],-9373.017740885416,-9373.017740885416,69
70,[64.11929517  3.68450523  2.57590334  2.98877857],[32.18423982  1.93092509  1.43920647  1.58295719],-9693.191623263889,-9693.191623263889,70
71,[63.01791386  3.63871954  2.34257724  2.89479871],[31.46333054  1.86117104  1.29053131  1.54638442],-9955.484117296008,-9955.484117296008,71
72,[63.11646775  3.63231607  2.45598869  2.66726264],[31.19998243  1.85782019  1.38693526  1.42631354],-10082.512383355035,-10082.512383355035,72
73,[66.289917    3.5468301   2.3960817   2.67779851],[32.77671425  1.81555273  1.34304023  1.47096965],-10383.866889105902,-10383.866889105902,73
74,[65.45498641  3.54476211  2.44892668  2.779261  ],[32.2194164   1.77772025  1.36488444  1.53639984],-10646.44593641493,-10646.44593641493,74
75,[62.96711956  3.58276834  2.28760299  2.60821537],[31.31865761  1.920195    1.26458667  1.40226204],-10868.04778374566,-10868.04778374566,75
76,[63.11936713  3.52881367  2.44402994  2.771277  ],[31.50405224  1.85500248  1.36317003  1.55038775],-11143.781236436633,-11143.781236436633,76
77,[66.37295616  3.52724229  2.27967464  2.6800013 ],[32.8244398   1.77759489  1.25806608  1.45215215],-11473.172254774305,-11473.172254774305,77
78,[63.35709921  3.50659977  2.32080221  2.73425284],[31.16645981  1.79816741  1.29757928  1.49418119],-11804.386284722223,-11804.386284722223,78
79,[64.36474613  3.51104115  2.29723056  2.68929549],[32.1286752   1.82872076  1.28036062  1.47185859],-12088.844997829861,-12088.844997829861,79
80,[63.80397507  3.68244964  2.42704104  2.8399428 ],[31.72944172  1.85830635  1.35891874  1.59296852],-12352.27392578125,-12352.27392578125,80
81,[64.11005823  3.64561451  2.2635344   2.57888485],[32.04253208  1.82619867  1.24771399  1.38506248],-12631.518364800348,-12631.518364800348,81
82,[63.83792075  3.54280015  2.63520212  2.59841536],[31.68588709  1.81240512  1.50619333  1.40098605],-12927.802218967014,-12927.802218967014,82
83,[67.81102429  3.84810562  2.65706647  2.60766612],[33.43008419  2.20380115  1.53337221  1.38864337],-13162.778645833334,-13162.778645833334,83
84,[66.38750446  3.50806549  2.71273886  2.6618478 ],[32.52677874  1.78875089  1.50425182  1.4470333 ],-13495.538764105902,-13495.538764105902,84
85,[63.81188098  3.51162904  2.77033937  2.62886818],[32.02866863  1.78819629  1.54316871  1.43524237],-13793.757405598959,-13793.757405598959,85
86,[64.2005982   3.51805819  2.28025753  2.58669644],[31.97301912  1.77846771  1.26766857  1.39029338],-14084.13232421875,-14084.13232421875,86
87,[65.37792748  3.48111244  2.48653709  2.7948216 ],[32.19136579  1.76531921  1.40330972  1.53523031],-14400.24037000868,-14400.24037000868,87
88,[64.34521979  3.59060878  2.30253658  2.6317039 ],[31.8850457   1.85203189  1.26675401  1.42190008],-14707.480523003473,-14707.480523003473,88
89,[63.9939995   3.55952664  2.42834887  2.52367985],[31.74877329  1.85272586  1.37515372  1.34580178],-15077.086344401041,-15077.086344401041,89
90,[64.6855609   3.48572002  2.34284704  2.56821386],[32.21665326  1.82575382  1.32387726  1.41700298],-15387.52845594618,-15387.52845594618,90
91,[63.89481986  3.83512652  2.45716832  2.69064726],[31.67184279  2.20282935  1.38211532  1.51886281],-15731.03062608507,-15731.03062608507,91
92,[62.74558205  3.56746207  2.25532528  2.5862219 ],[30.92332814  1.7985273   1.2548336   1.40968024],-16046.11962890625,-16046.11962890625,92
93,[63.75445573  3.51998815  2.263096    2.54961167],[31.78652541  1.80835749  1.25900873  1.39171506],-16411.93958875868,-16411.93958875868,93
94,[64.422191    3.52069621  2.28444315  2.75862993],[31.64600965  1.8470382   1.27885022  1.56524088],-16798.744466145832,-16798.744466145832,94
95,[63.96124765  3.54470928  2.25906418  2.57329219],[31.53465694  1.8889808   1.26417791  1.39372598],-17097.883110894098,-17097.883110894098,95
96,[68.79267959  3.70618377  2.9517391   2.76700914],[34.05768358  1.82720115  1.6779132   1.50659949],-17466.123453776043,-17466.123453776043,96
97,[63.73608944  3.79091113  2.45770872  2.55532419],[31.68215264  2.02415059  1.377725    1.34404104],-17842.800754123266,-17842.800754123266,97
98,[63.35503442  3.58199548  2.31724512  2.60349963],[32.06429049  1.78927447  1.29183167  1.39137353],-18219.3056640625,-18219.3056640625,98
99,[63.73054385  3.52521928  2.25632394  2.51927097],[31.53248868  1.77786748  1.27194471  1.34415245],-18765.067355685766,-18765.067355685766,99
100,[66.94216976  3.48456284  2.39223635  2.56890685],[33.04636859  1.76346022  1.35195253  1.3889946 ],-19191.851155598957,-19191.851155598957,100
