Epoch: [RMSE Score] [CRPS Score]
1, [82.30146502 14.68687569 13.18844078 11.45068264], [43.60999589  8.70253972  7.97718459  6.79076118] 
2, [79.78932795 11.82648219 11.26359193 10.33479225], [42.51589496  6.92560227  6.64271844  5.98495448] 
3, [79.65112777  6.74863912  6.39056624  6.14683763], [42.39983956  3.92285153  3.60141938  3.34678833] 
4, [81.9792169   6.24668861  4.93186429  3.8913556 ], [42.33223361  3.55266197  2.72463911  2.20535793] 
5, [74.15047932  5.27536555  4.79729676  3.77174255], [36.82416121  3.08070797  2.76983831  2.14087688] 
6, [84.3882932   4.44396156  4.47760489  4.36696146], [48.18425833  2.54288512  2.56686096  2.34992856] 
7, [75.90092085  3.81115339  4.65336778  4.4538967 ], [39.55464288  2.10779774  2.6261272   2.37362195] 
8, [76.57188629  4.39093877  3.96806087  3.8897169 ], [38.11941542  2.40462857  2.24292341  2.16354753] 
9, [75.25642801  4.02983234  3.98276405  3.75524052], [38.42124309  2.25175299  2.22247025  2.13081831] 
10, [74.67282095  3.6937862   4.11396861  4.38757005], [37.53405974  1.95159155  2.3458483   2.47875334] 
11, [72.75754325  3.04077215  4.24390526  3.6657475 ], [35.84584349  1.69970555  2.40570149  2.04687818] 
12, [71.32815236  3.8905981   4.12870377  3.23670165], [35.83016041  2.02527497  2.30272327  1.81057179] 
13, [75.44851616  3.49180306  3.82630496  3.32823232], [37.21175395  1.87914756  2.14471505  1.87395138] 
14, [75.7832979   4.81029046  3.71443894  3.49807432], [38.10294     2.83714963  2.1034671   2.00854459] 
15, [70.12867826  3.15695274  4.43159155  3.69329569], [35.29233547  1.87475139  2.50782008  2.02675516] 
16, [68.99351171  3.50711666  3.91830888  3.38035408], [35.07088405  1.9767575   2.18617322  1.93642943] 
17, [67.99050043  2.89084143  3.57567774  3.1922946 ], [33.90667612  1.56207516  1.99707812  1.77443303] 
18, [69.61310957  2.9578261   3.3745793   3.10752644], [35.49262589  1.61934257  1.89616086  1.7311512 ] 
19, [69.51310291  3.47893593  3.35180146  4.10164558], [35.17683875  1.90835156  1.91524021  2.20563686] 
20, [68.66210388  2.76163175  3.24988226  3.07842532], [35.05092856  1.43152361  1.84021409  1.66771866] 
21, [68.86918077  2.90824449  3.07681632  2.99060891], [34.86101872  1.60463253  1.72378018  1.69316952] 
22, [69.11373561  2.8814913   3.05959567  3.25121643], [35.42996889  1.50077192  1.69528013  1.83777875] 
23, [66.48476085  2.94217556  3.25819121  2.84452365], [33.74109664  1.58587694  1.81113429  1.59755086] 
24, [68.5642154   3.14718858  3.20517731  2.96856186], [34.91441734  1.69525857  1.79299751  1.6525438 ] 
25, [70.73202038  2.65034109  2.85159587  3.00792723], [36.2263085   1.49453191  1.58638365  1.67726054] 
26, [68.61556441  3.07384498  3.11235599  2.78934127], [34.64635968  1.66300287  1.75817358  1.563148  ] 
27, [66.01809817  2.90344144  2.748838    2.86610438], [33.30982875  1.60487551  1.57196315  1.63112759] 
28, [70.83052592  2.60337181  2.72313379  2.72464962], [35.79697999  1.39110637  1.51544246  1.49652057] 
29, [68.34677501  2.68166009  2.79726878  2.95257817], [34.79744534  1.42736301  1.57901017  1.68675592] 
30, [67.33334264  2.96668662  3.13413212  2.83429611], [34.4409332   1.55564675  1.74530984  1.57869379] 
31, [66.18937948  2.62341147  2.56531187  2.61505453], [33.37818398  1.38825906  1.42414177  1.46695609] 
32, [71.53814828  3.04021479  2.93905719  2.80739294], [36.28193688  1.65691306  1.59721365  1.57160425] 
33, [66.67949994  2.8567436   2.79893277  2.87531716], [32.24075449  1.53824674  1.5514175   1.6978819 ] 
34, [68.39920575  2.89487486  2.67407473  2.87509676], [34.17314347  1.56724383  1.49502595  1.62557063] 
35, [66.69988162  2.65338174  2.50854385  3.0134746 ], [33.52676511  1.42615631  1.39427578  1.64075017] 
36, [66.07283352  2.75115716  2.88214586  2.87353559], [33.37442499  1.51645019  1.61968499  1.60875639] 
37, [66.40105658  2.75938043  2.63831607  2.70617807], [33.26365838  1.4717086   1.44195876  1.54770875] 
38, [65.43164245  2.76401944  2.60677555  2.79587742], [32.99338412  1.5181907   1.4767377   1.60739344] 
39, [67.08804404  2.91023522  2.46943289  2.70524075], [33.41330095  1.51324545  1.3768751   1.53046987] 
40, [67.68071516  3.05024793  2.53887446  2.66107409], [33.13884842  1.61316502  1.41076077  1.45812483] 
41, [67.06440538  2.89351775  2.59014921  2.94170515], [33.49534406  1.56569201  1.44981642  1.65974089] 
42, [67.16457998  2.6634423   2.4574017   2.89966211], [34.01933938  1.3921489   1.35882482  1.60593017] 
43, [65.41870363  2.7359022   2.61478473  2.7537498 ], [33.07429437  1.44814469  1.46194038  1.56683099] 
44, [67.01310718  2.82821991  2.5015495   2.66896903], [34.26834944  1.46273362  1.39208387  1.51484351] 
45, [65.21625642  2.78160578  2.50324304  2.58622763], [32.6630001   1.47833002  1.3923493   1.48884639] 
46, [64.98743691  2.92099835  2.45609986  2.66990323], [32.68148747  1.53597664  1.36757425  1.53647766] 
47, [67.35326642  2.75358749  2.54224383  2.54845039], [33.89799747  1.54540594  1.43390132  1.43954331] 
48, [67.686661    2.68477657  2.67812184  2.86054074], [34.16405371  1.52182527  1.54094059  1.62033382] 
49, [67.15038267  2.78944142  2.53541648  2.60473157], [33.47469061  1.64585366  1.41699162  1.43259133] 
50, [67.17824077  3.42289307  2.61276871  2.96724399], [34.00161738  1.76352517  1.46336952  1.61555112] 
51, [68.58599857  2.89123048  2.52435925  2.67044592], [34.2148449   1.51943539  1.40385218  1.49287534] 
52, [66.02008019  2.85848295  2.90888543  2.82652603], [32.7343486   1.55635969  1.608207    1.59652405] 
53, [71.14299477  2.9615701   2.84119739  2.83769386], [35.44617613  1.57557625  1.61649054  1.57074684] 
54, [68.08444174  2.87092452  2.46003499  3.14047726], [34.04589651  1.52997565  1.37472307  1.63899826] 
55, [67.82363836  2.83923236  2.43428565  2.7316537 ], [34.37024577  1.52802191  1.34705643  1.47669038] 
56, [68.48420124  2.69963436  2.45627869  2.63357726], [34.5540376   1.43853356  1.37753871  1.44409783] 
57, [66.99724931  2.91940103  2.43466876  2.71163544], [33.6865413   1.56309661  1.37151562  1.52762787] 
58, [70.02025265  2.97428093  2.59182939  2.68135029], [35.17809605  1.68724783  1.44478594  1.49063138] 
59, [68.72497097  2.87854225  2.49065219  2.74666912], [34.70693094  1.51481452  1.42041344  1.57419543] 
60, [68.43490944  2.57173871  2.51152331  2.65653694], [34.58824193  1.36513339  1.43510244  1.51441448] 
61, [67.14781218  2.60493912  2.53764455  2.73164621], [33.98900242  1.42757064  1.45281827  1.57390447] 
62, [66.55477726  2.52415304  2.462559    2.76475279], [33.62048781  1.37841767  1.38425588  1.64413808] 
