Epoch: [RMSE Score] [CRPS Score]
1, [114.93482788  11.08913652   8.17454101   6.78359094], [63.99847053  6.50507912  4.83116885  4.12675264] 
2, [114.92444507  11.37037724   8.41084254   7.05597079], [63.51787742  6.50978152  4.77746695  4.06662716] 
3, [116.14739972  11.71044041   8.87344553   7.48915358], [64.63786532  6.58392965  5.00464186  4.31492629] 
4, [117.17579024  11.61754293   8.52516399   7.30922766], [64.30732472  6.44924271  4.83411457  4.20807316] 
5, [117.18014023  10.19499804   6.83285677   6.58299658], [63.55301923  5.64848806  3.85167501  3.77728962] 
6, [116.99501764   8.23851334   5.52112489   4.74570967], [63.05993507  4.89130215  3.23798694  2.7674717 ] 
7, [117.99232798   8.62463705   5.7823852    5.09700283], [61.66043844  5.00836482  3.29431693  2.84958504] 
8, [116.21364229   6.19853939   4.5295524    4.45703611], [59.50482195  3.61251004  2.65351017  2.51046392] 
9, [111.58709275   6.44966622   4.55654624   4.21233656], [56.3763128   3.71652373  2.62818457  2.39611619] 
10, [103.40830928   6.39904217   4.69370507   4.54804624], [52.55281999  3.6785983   2.65439959  2.54403843] 
11, [97.73699366  6.18853148  3.93243445  4.3945766 ], [50.05675991  3.60734789  2.2759492   2.49221295] 
12, [94.23712689  6.62413856  4.25022304  4.41859234], [48.48884968  3.78120422  2.41415602  2.49494   ] 
13, [92.28592831  6.51288542  4.43084303  4.6525799 ], [49.0459162   3.7414175   2.48859957  2.627356  ] 
14, [92.86905684  5.56415514  4.11292131  4.55905412], [48.03403017  3.15858134  2.33057802  2.60212647] 
15, [86.93338858  5.91395136  3.95123548  4.90321867], [45.34641911  3.3787412   2.2156492   2.81378819] 
16, [84.06098798  4.69536435  3.97522619  4.78025147], [44.15715517  2.59239261  2.26125647  2.73947186] 
17, [82.34491235  5.36899756  3.60245776  4.95607121], [43.36414656  2.96359238  2.0173683   2.88688435] 
18, [81.27233474  5.89823149  3.78186959  4.88108385], [42.83532949  3.32334035  2.13392135  2.70596655] 
19, [82.20054694  4.32978526  3.63949256  4.95673292], [44.19814064  2.33506809  2.04572421  2.83637752] 
20, [83.73065043  5.89907118  3.55517377  4.41298329], [44.95908541  3.34686953  2.01645152  2.4800355 ] 
21, [78.56504819  5.41241899  3.67209283  5.03357375], [41.77252251  3.0821957   2.06244638  2.85808704] 
22, [78.09698952  4.07454591  4.0808415   4.57583545], [41.48388281  2.32650387  2.29890119  2.64006221] 
23, [77.5366154   4.69672906  3.37652561  4.41713267], [40.88050586  2.588541    1.89051508  2.48508067] 
24, [80.85565816  4.23210882  3.5975649   3.90710344], [43.61932947  2.35947651  2.07899375  2.21903323] 
25, [76.8610627   3.68261436  3.3208129   3.85890895], [40.86704227  2.02869286  1.89453652  2.2110517 ] 
26, [75.34438428  3.93339507  3.117655    3.78348144], [39.86582223  2.12505784  1.76395355  2.13012519] 
27, [76.45038165  3.86197453  3.35392848  3.93612881], [40.86587525  2.08262998  1.90236962  2.21083413] 
28, [77.10730795  4.08366136  3.06608997  3.88196542], [41.28115609  2.24785685  1.735127    2.20323672] 
29, [73.74445368  3.64092812  2.98158535  3.38552434], [38.86933761  1.95023325  1.72484202  1.89798437] 
30, [73.10333108  3.76045951  3.34353027  3.37285207], [39.08347502  2.0784342   1.91920255  1.90093   ] 
31, [73.64653972  4.22732015  2.87290152  3.90981339], [39.48684287  2.40538115  1.62318572  2.27512518] 
32, [70.21882092  4.06521401  3.49427116  2.89417422], [37.3348976   2.15883135  2.03835721  1.63673016] 
33, [73.61165443  4.1763756   2.92976156  3.06005184], [38.8236582   2.38272758  1.65676153  1.69454676] 
34, [70.33144693  3.47009096  2.74047935  3.30970186], [37.00498274  1.858533    1.57207051  1.89484151] 
35, [72.02667718  3.3936958   2.93753756  3.7629008 ], [37.41237132  1.89538003  1.67659913  2.10116701] 
36, [68.81795996  3.39971774  2.45331293  3.13080531], [36.59168571  1.8497625   1.42258132  1.74713712] 
37, [76.44458289  6.13541627  2.86408996  2.80186658], [40.80191485  3.69675309  1.66006235  1.56317327] 
38, [71.23116166  3.95577984  3.0929332   3.32664817], [37.63241129  2.26239443  1.78342373  1.86514838] 
39, [69.93533688  4.39977949  3.91457594  3.21484445], [36.53193298  2.37105252  2.23417646  1.83574375] 
40, [71.04961513  4.37350591  2.85968079  3.04502984], [36.23999406  2.44738867  1.61336304  1.7148585 ] 
41, [72.18147479  3.53100059  2.90293521  3.26830659], [38.54705602  1.84824672  1.63309884  1.88075168] 
42, [73.07537313  3.61071132  3.02386362  2.93047739], [38.28811734  2.01302951  1.71966419  1.67746124] 
43, [69.07525265  3.80417162  2.97439374  2.85662822], [36.7549718   2.10192983  1.68412004  1.60265307] 
44, [76.17581708  3.57774712  2.36649261  3.00140499], [40.13914182  1.91925973  1.33974011  1.68251069] 
45, [69.85401438  3.47259115  3.28103697  2.91026297], [36.27022297  1.9850832   1.8842006   1.65207993] 
46, [71.66684997  3.21991044  2.78836101  2.83979638], [37.7653082   1.72988572  1.57115966  1.60778809] 
47, [69.16380674  3.41280842  2.69536412  2.93300801], [36.08994288  1.88585247  1.51243294  1.67652674] 
48, [71.06433394  3.32656221  2.92232913  3.00341594], [36.95688541  1.8250527   1.66243795  1.67539498] 
49, [72.22587166  4.01227564  3.074855    2.85256333], [37.72299996  2.22699392  1.75053755  1.59252084] 
50, [71.31767301  3.61619906  3.43549779  3.05614387], [37.23151231  1.99956643  1.92673087  1.7557013 ] 
51, [70.65553915  4.16063255  2.70265185  2.74934333], [36.70650544  2.39498661  1.5349003   1.57624808] 
52, [72.51365862  3.33469037  2.97281246  2.94080238], [38.06848416  1.77307586  1.70827137  1.64927   ] 
53, [68.37581183  3.81870931  2.52732893  3.05952991], [35.15965306  2.22449791  1.43260364  1.73240819] 
54, [71.94767507  3.33777762  2.94299897  2.85347884], [37.14211172  1.77836473  1.68265853  1.59116501] 
55, [70.48391874  3.66700447  2.70084114  2.73287517], [36.84444877  2.01432365  1.52410148  1.51439974] 
56, [72.77457506  3.27085613  3.3530906   2.72775209], [38.0340621   1.75566166  1.92510242  1.52106832] 
57, [71.89552709  3.38448625  2.8167377   2.46853845], [37.70111366  1.85521385  1.59723219  1.39530118] 
58, [70.04363052  3.82841668  2.57659168  2.67800133], [36.0500059   2.15130495  1.46179766  1.53859007] 
59, [71.192816    3.28490827  2.99448834  2.477442  ], [36.92892271  1.74574533  1.70110943  1.43516868] 
60, [71.1883388   3.31661268  3.35902211  3.25675106], [36.76931576  1.84803864  1.9099415   1.88030383] 
61, [80.39675287  4.58954723  3.15148059  2.6210635 ], [41.90403282  2.62843071  1.8155863   1.45310056] 
62, [72.87575447  3.87738701  2.47976414  3.16513357], [37.22058185  2.20176421  1.4864236   1.76237908] 
63, [70.12390461  3.55394893  2.96493687  3.10853146], [36.70826811  1.95027638  1.701378    1.76541684] 
64, [70.68411872  3.48827517  2.61236925  2.7917731 ], [36.3709398   1.95716294  1.46439028  1.63131226] 
65, [70.56221586  3.70572925  3.59991228  2.70836285], [36.43163851  2.0944934   2.10797352  1.49961736] 
66, [71.23633743  3.32007112  2.47985181  2.46402609], [36.59361344  1.80665474  1.39519784  1.37362564] 
67, [73.62841858  3.58938055  2.82464065  2.44662374], [38.14708458  2.04796643  1.59461672  1.36553348] 
68, [71.35380582  3.39368534  2.59915415  2.44315897], [37.08388113  1.86283316  1.46829247  1.37479022] 
69, [72.00750944  3.31889629  2.85001694  2.70408553], [37.52563699  1.83730069  1.63587694  1.5648364 ] 
70, [73.37388739  3.49665971  2.42842784  3.15987859], [37.421186    1.96156114  1.35575609  1.86196062] 
71, [73.85550514  3.29248621  3.45865998  2.71548588], [38.13542916  1.77301647  1.99639947  1.52341591] 
72, [71.20575755  3.75964193  2.77871079  2.58703039], [36.73610363  2.06167621  1.55920939  1.44480931] 
73, [68.99025361  3.62000329  2.76556353  2.61969505], [35.52631484  2.03996709  1.56115754  1.48878544] 
74, [71.12746232  3.19852181  3.35904168  2.58438101], [36.53810183  1.7216579   1.9782461   1.49339804] 
75, [71.49776609  3.31544926  2.65351422  2.4747072 ], [36.75341603  1.79028207  1.49763422  1.42880218] 
76, [72.79026871  3.49997324  2.61564926  2.85827754], [37.15917149  1.95647949  1.48761866  1.63226151] 
77, [76.51469182  3.76974091  3.01092682  2.71364954], [39.22459555  2.10299634  1.68236956  1.52602736] 
78, [70.07308667  3.24680022  3.02494004  2.90252358], [35.48976203  1.73020982  1.74387679  1.64206742] 
79, [71.96310434  3.3710059   2.9461244   2.48164966], [37.05528866  1.86266522  1.6704288   1.38696036] 
